"","X","logFC","logCPM","PValue","FDR","gene.name"
"9174","KH2013:KH.S1233.1",-0.473419891498423,0.441855055757915,0.659835699192042,1,"KH2013:KH.S1233.1"
"9175","KH2013:KH.C2.516",0.172737255900126,4.45149752130078,0.660004112280973,1,"KH2013:KH.C2.516_CACHD1"
"9176","KH2013:KH.C2.1102",-0.155324066771568,4.85331221898911,0.660054325309902,1,"CARKD"
"9177","KH2013:KH.C1.465",0.219545138802369,3.90016175080846,0.660101517597089,1,"TSN"
"9178","KH2013:KH.C11.166",0.370107185972678,1.87196720626164,0.660109258629658,1,"RASEF"
"9179","KH2013:KH.C9.872",0.112286073117107,7.99933508273239,0.660123115875573,1,"ABI3BP"
"9180","KH2013:KH.C1.1026",0.177521184149714,4.38781979836482,0.660241370310386,1,"ASB14/3"
"9181","KH2013:KH.C8.857",0.103665914478114,6.33631728391595,0.660266249358481,1,"CSRP2BP"
"9182","KH2013:KH.C3.525",-0.126173884652187,5.7959637121294,0.660342534852893,1,"F1NXC0_CHICK"
"9183","KH2013:KH.C1.991",-0.242174764886011,3.49207847419981,0.66040895632585,1,"YMR114C"
"9184","KH2013:KH.C2.775",0.0991296551713146,7.88550071499895,0.660440458656102,1,"USP47"
"9185","KH2013:KH.S1776.1",0.288240984597305,2.40999370241405,0.660476326635007,1,"KH2013:KH.S1776.1"
"9186","KH2013:KH.C10.75",0.226856866672521,3.64149938125091,0.660489750279268,1,"EFCAB1"
"9187","KH2013:KH.C11.391",-0.162944602780744,4.76645604756321,0.660671957124667,1,"EDEM1/2"
"9188","KH2013:KH.L166.1",0.168767799856131,4.67749572494915,0.660774315335179,1,"RGS12/14"
"9189","KH2013:KH.C7.586",-0.101637735593558,6.72631451211445,0.660904003145418,1,"GPD1/2"
"9190","KH2013:KH.C7.722",0.217943514694569,3.64421140595793,0.660947911832685,1,"KH2013:KH.C7.722_GRX3"
"9191","KH2013:KH.S388.2",-0.584943613339098,-0.62885665992467,0.660955101277876,1,"KH2013:KH.S388.2"
"9192","KH2013:KH.C4.399",-0.491035108864563,-0.382181035163967,0.660965032205474,1,"ITGB1BP3"
"9193","KH2013:KH.S928.1",-0.41929048112942,1.18658353656249,0.661018145840267,1,"KH2013:KH.S928.1_HTR3A"
